酒名,url,酒譜,介紹,步驟,口味,評論
"Bear With Me, Honey",https://www.liquor.com/recipes/bear-with-me-honey/,"{'Barr Hill Tom Cat gin': '11/2 ounce', 'egg white': '1 ounce', 'white verjus': '3/4 ounce', 'honey syrup ': '1/2 ounce', 'orange liqueur': '1/4 ounce', '20% saline solution ': '2 dash'}","['This riff on a Bee’s Knees by Morgan Stana, the bar manager at A Rake’s Bar at The Line hotel in Washington, D.C., uses both a honey-infused gin from Vermont and honey syrup. That sweetness is balanced by the delicate acidity of verjus. A few dashes of a saline solution coaxes out even more flavor.', 'This recipe originally appeared as part of “Why You Should Use Verjus in Your Cocktails.”']","['Add all ingredients into a shaker and dry-shake (no ice).', 'Add ice and shake again until well-chilled.', 'Strain into a rocks glass over fresh ice.', 'Garnish with an edible flower and rosemary sprig.']",Sweet,[['Make mine a double! Wish Ver Jus was easier and cheaper to find in the U.S.']]
The Spice Is Right,https://www.liquor.com/recipes/the-spice-is-right/,"{'Plantation Stiggins’ Fancy pineapple rum': '1 ounce', 'Rittenhouse rye whiskey': '1 ounce', 'St  Elizabeth allspice dram': '1/2 ounce', 'Ancho Reyes ancho chile liqueur ': '1/4 ounce', 'Simple syrup': '1/4 ounce', 'Eggnog': '3/4 ounce'}","['This Eggnog variation from Tulsa’s Nate Wood, who splits his bartending duties between Amelia’s on Boston and Oren, is a spice lover’s dream come true. Rye, all-spice dram, chile liqueur and cinnamon simple syrup come together to make a bold backbone for the winter cocktail. But it’s the pineapple rum that gives the drink its legs, says Wood. It brings a “contrasting sweetness and brighter tone” to the drink. If you want to spice this flavor profile up even more, Woods suggests infusing the rum and rye with some clove and/or cinnamon sticks prior to mixing.', 'This recipe originally appeared as part of “Not All Eggnogs Are Created Equal: 3 Recipes to Keep Close This Holiday Season.”']","['Add all ingredients into a shaker with ice and shake well.', 'Strain into a rocks glass over fresh ice.', 'Garnish with grated nutmeg.', '*Cinnamon simple syrup: Add 4 cinnamon sticks, 1 cup sugar and 1 cup water into saucepan. Bring to boil, reduce heat and simmer until sugar dissolves. Remove pan from heat and let steep for 20 minutes. Remove cinnamon sticks and store syrup in refrigerator up to 2 weeks. (Optional: Mix 1/2 oz simple syrup with 1 dash ground cinnamon.).']",Sweet,NULL
Devil’s Margarita,https://www.liquor.com/recipes/devils-margarita/,"{'Blanco tequila': '11/2 ounce', 'Fresh lime juice': '1 ounce', 'Simple syrup': '3/4 ounce', 'Red wine': '1/2 ounce'}","['A well-made Margarita is a pure joy to drink, but sometimes you crave a more sinful cocktail. This tasty twist on the tequila classic calls for red wine, adding a dash of color and earthiness to the mix. Quick tip: Skip the salted rim as it clashes with the wine’s acidity. Plus, it looks too much like a halo.']","['In a pint glass, add the tequila, lime juice and syrup with ice and shake until well-chilled.', 'Strain into a cocktail glass.', 'Float the red wine over the glass.', 'Garnish with a lime wheel.']",Sweet,NULL
Honey Winter Bourbon,https://www.liquor.com/recipes/bottled-in-bond-honey-winter-bourbon/,"{'Bottled-in-Bond bourbon': '2 ounce', 'Honey-sage syrup': '11/2 ounce'}","['Sure, you can enjoy the tradition and flavor of Bottled-in-Bond bourbon neat or on the rocks. But try mixing the one-of-a-kind Kentucky bourbon—made from the oldest continuously run Kentucky distillery under the same ownership according to the rules outlined in the Bottled-in-Bond Act of 1897—with a delicious honey-sage syrup. This homemade ingredient is just the thing to elevate a rare bourbon.']","['Pour bourbon and honey-sage syrup over ice.', 'Twist orange peel over glass to release its oils.', 'Garnish with the peel and a fresh sage leaf.', '*Honey-sage syrup: Add 1 cup water, 1⁄2 cup honey and 10-12 sage leaves to a pot and bring to a boil. Reduce to low and simmer for three minutes. Turn off heat and let syrup cool.']",Sweet,NULL
Grave Digger,https://www.liquor.com/recipes/grave-digger/,"{'Vanilla-infused brandy': '11/2 ounce', 'Coffee liqueur': '3/4 ounce', 'Grand Marnier': '1/2 ounce', 'Espresso': '1 ounce'}","['Get grounded this Halloween with a dessert cocktail that’s as disturbing as it is delicious. The Grave Digger is a simple twist on a Spanish Coffee with one spooky exception: It’s topped with crushed Oreo cookies and a tiny shovel to resemble a freshly dug grave—a nifty little trick we picked up from cocktail influencer Katie Stryjewski, aka @garnish_girl.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a coupe.', 'Top with whipped cream and crushed Oreo cookies (discarding cream in center).', '*Vanilla-infused brandy: Cut 2 fresh vanilla pods lengthwise and place into a 750 mL bottle of brandy. Let sit for 3 to 5 days, shaking occasionally. Strain out pods and store.']",Sweet,NULL
Añogo,https://www.liquor.com/recipes/anogo/,"{'Añejo tequila': '11/2 ounce', 'Amontillado sherry': '1/2 ounce', 'Eggnog': '4 ounce'}","['San Francisco cocktail pioneer H. Joseph Ehrmann’s take on Eggnog blends añejo tequila with amontillado sherry and lets the mixture age in-house for three months before using it in his Añogo. ""You\'ll usually get nice citrus notes, which are highlighted by the toasted orange oils sprayed on the surface,” he says. “And the sherry notes add a buttery and nutty quality.” The recipe calls for 1 1/2 ounces of tequila, but Ehrmann recommends punching that up to increase the baked agave flavors, not to mention the booziness, of the drink.', 'This recipe originally appeared as part of “Not All Eggnogs Are Created Equal: 3 Recipes to Keep Close This Holiday Season.”']","['Add all ingredients into a rocks glass over ice and stir well.', 'Garnish with a flamed orange peel.', '*Eggnog: In a stand mixer bowl, beat 4 egg yolks until light in color. Slowly add 1/3 cup organic sugar and beat until completely dissolved. Add 16 oz whole milk, 1 cup heavy cream and 1 tsp freshly grated nutmeg, then stir to combine. Set aside in refrigerator and store until service. When serving, place 4 egg whites in stand mixer bowl (or in chilled metal mixing bowl) and beat to soft peaks. With mixer still running, slowly add 1 tbsp refined sugar and beat until stiff peaks form. Gently fold egg white mixture into main mixture. (For a lighter version, use half-and-half instead of heavy cream. For a nondairy version, whisk 1/4 cup almond butter into 24 oz unsweetened almond milk, instead of milk and heavy cream; or use 1 pt almond milk and 1 cup cooked oatmeal, then blend entire batch until smooth.).']",Sweet,NULL
Bourbon Old Fashioned,https://www.liquor.com/recipes/bourbon-old-fashioned/,"{'sugar': '1/2 teaspoon', 'Angostura bitters': '3 dash', 'water': '1 teaspoon', 'bourbon': '2 ounce'}","['When you get right down to it, the Bourbon Old Fashioned is little more than a slug of whiskey, seasoned and sweetened. Yet for all of its suave simplicity, the drink remains as relevant today as it was when it first captured drinkers’ hearts 200 years ago.', 'In truth, you could draw a straight line connecting this drink to the first recorded definition of the cocktail category in general (circa 1806), which calls for spirits, sugar, water and bitters. You could also skip the history lesson and simply make the drink. Do the latter.', 'Start by using good bourbon, the rule being that if you wouldn’t sip it by itself it has no place at the helm of a Bourbon Old Fashioned. (There are other whiskey drinks for masking subpar booze—this isn’t one of them.) From there, the cocktail-minded seem to break into two camps: simple syrup or muddled sugar.', 'While a barspoon of syrup can cut your prep time in half, it robs the drink of some of the weight and texture that makes it so appealing. And anyway, what’s the big rush? The Bourbon Old Fashioned isn’t going anywhere.']","['Add the sugar, bitters and water into a rocks glass, and stir until sugar is nearly dissolved.', 'Fill the glass with large ice cubes, add the bourbon, and gently stir to combine.', 'Express the oil of an orange peel over the glass, then drop in.']",Sweet,"[['Try a good rye for an old fashioned. Bourbon can make it too sweet. Try Whistle Pig, Clyde Mays, or EH Taylor. All very smooth.'], [""Rye and Bourbon old fashioned cocktails are similar but very different.\nI've been on Dickel Rye for a bit now, but if im going to do bourbon, im going with Bulliet, Buffalo Trace, or Basil Hayden.""], ['Buffalo Trace'], ['Hotel Tango rye'], ['I find that high proof bourbon works best.'], ['What brand do you recommend? I like Makers Mark.....but what are you thoughts?'], ['Knob Creek will provide a kick to the drink at 100proff'], ['Concur'], [""if you're following this recipe, no need to go for high proof spirits. Just skip the teaspoon of water, and you get the same kick from 80 proof that you get from 90 proof with the teaspoon water.""], ['Woodford reserve'], ['Just bought some Makers just for this drink ... 👍'], ['I like Knob Creek or Woodford Reserve best.'], ['Try Buffalo Trace or Basil Hayden.'], ['Bulleit Rye is great for these.'], [""Geeze. If y'all have the budget cool. Any high proof rye heavy thing is gonna work. Rittenhouse, Wild Turkey 101 Rye will get it done. Keep those bitters dashes light and simple syrup is awesome so you don't end up with a slug of sugar if you 'get distracted'.""], [""Yes, don't use a great sipping whiskey for this.""], ['Woodford Reserve'], [""Update...first one was with Woodford Reserve Double Oaked - delicious. Second one was with Maker's Mark - acceptable but not as good.""], ['Drinking one right now with Woodfords Double Oaked in a Waterford Crystal Glass. Makes a difference believe it or not!']]"
Long Island Iced Tea,https://www.liquor.com/recipes/long-island-iced-tea/,"{'Vodka': '3/4 ounce', 'White rum': '3/4 ounce', 'Silver tequila': '3/4 ounce', 'Gin': '3/4 ounce', 'Triple sec': '3/4 ounce', 'Simple syrup': '3/4 ounce', 'Fresh lemon juice': '3/4 ounce', 'Cola': 'to top'}","['On paper, the Long Island Iced Tea is one hot mess of a drink. Four different—and disparate—spirits slugging it out in a single glass, along with triple sec, lemon juice and cola? The recipe reads more like a frat house hazing than one of the world’s most popular cocktails. And yet, somehow, it works.', 'That’s because the Long Island Iced Tea succeeds where so many of today’s refined cocktails fall short: It’s boozy AF—nearly four ounces of alcohol against less than half that amount in mixers. Unless you’re a sailor on shore leave, that’s a red-flag ratio rife with morning-after consequences. It’s also precisely what a person needs every now and then.', 'Best then not to intellectualize the Long Island Iced Tea and simply love it for what it is: an easy-gulping, one-and-done stiffy. If you’re looking to tame your tea a bit, pull back the boozy parts from three-quarter ounce to half-ounce, and lean in on the cola. The good people of Long Island won’t be offended.']","['Add all ingredients except the cola into a Collins glass with ice.', 'Top with a splash of the cola and stir briefly.', 'Garnish with a lemon wedge.', 'Serve with a straw.']",Sweet,[['I like the way this article was written. It was light hearted and funny as well as insightful.']]
Kamikaze,https://www.liquor.com/recipes/kamikaze/,"{'Vodka': '2 ounce', 'Orange liqueur': '3/4 ounce', 'Fresh lime juice': '3/4 ounce'}","['The Kamikaze was designed to cut to the chase. Invented on an American naval base in Japan after World War II and made popular during the great reign of vodka of the 1970s and ’80s, the Kamikaze isn’t the kind of cocktail bartenders sit around contemplating in hushed, reverent tones.', 'In fact, it’s not really a cocktail at all. The combination of vodka, lime juice and orange liqueur is served ice-cold as a shot and consumed, more often than not, in less time than it takes to assemble.', 'Which is not to suggest you approach the task haphazardly. The key to mixing a great shooter is to strip out the loose ends and focus on the bold and bracing. Its journey, after all, is a fast one.', 'This recipe calls for a full two ounces of vodka, and fresh lime juice as opposed to sour mix or Rose’s lime cordial, neither of which delivers the same tangy bite that gives the Kamikaze its backbone. Be sure to shake thoroughly for at least 10 seconds and double-strain to sift out any ice shards. In the end, you’ll have enough for two shots, because cutting to the chase is a team sport.']","['Makes 2 shots.', 'Add all the ingredients into a shaker with ice, and shake thoroughly until well-chilled.', 'Double-strain into two shot glasses.']",Sweet,NULL
Daiquiri,https://www.liquor.com/recipes/daiquiri/,"{'light rum': '2 ounce', 'fresh lime juice': '1 ounce', 'demerara sugar syrup': '3/4 ounce'}","['No drink has suffered more abuse than the Daiquiri. In the roughly 130 years since its inception, the granddaddy of rum cocktails has gone from the pride of Havana to an unloved extra on the back of a Señor Frog’s table tent. Even today, as the craft cocktail movement reaches full tilt, most people too often associate the Daiquiri with adult slushies, the stuff of spring break blackouts and mind-splitting hangovers.', 'But in its purest form, the Daiquiri is simple and sublime, a delicate blend of rum’s sweetness with the raw freshness of sugar and lime juice. Whole lives have been dedicated to balancing the three. That each ingredient should be of the highest quality goes without saying, though even then the Daiquiri can throw you a curve. Choose a too-sweet rum, and you’re sipping liquid candy; overdo the citrus, and the cocktail drowns in a puckering pool of acidity.', 'Our recipe walks the knife edge with a mix of light rum and a darker demerara sugar syrup. The two bring out the best qualities in each other. One trick when juicing the limes: Use a hand-squeezer (or your own hands). The oils from the rind add an extra flash of intensity that gives the cocktail a nice, bright edge.']","['Add all the ingredients into a shaker with ice, and shake until well-chilled.', 'Strain into a chilled coupe.', 'Garnish with a lime twist.']",Sweet,"[['I feel that the demarara was a bit too sweet and dominant. Maybe a simple syrup, and a little less of it?\nI used an artisinal white rum.'], ['""No drink has suffered more abuse..."", don\'t forget the martini!'], ['Please, may you get the recipes in metric system too?'], ['1oz = about 30ml']]"
Apple Cranberry Moscow Mule,https://www.liquor.com/recipes/apple-cranberry-moscow-mule/,"{'vodka': '2 ounce', 'Cran-Apple juice': '1 ounce', 'fresh lime juice': '1/4 ounce', 'ginger beer': 'to top'}","[""It’s no surprise that the Moscow Mule is one of the most popular cocktails of the last 20 years. It is easy to make and easy to drink and is often served in a special copper mug. This fun autumn-inspired recipe pairs cran-apple and lime juices with vodka and ginger beer. Add plenty of fresh fruits as a garnish, and you'll have a Moscow Mule variation that's great all year 'round.""]","['Pour the first 3 ingredients into a mule mug and add ice.', 'Top with ginger beer.', 'Garnish with fresh cranberries and apple slices.']",Sweet,NULL
Candy Cane Mimosa,https://www.liquor.com/recipes/candy-cane-mimosa/,"{'White crème de menthe': '3/4 ounce', 'Chocolate bitters': '1 dash', 'Sparkling wine': 'to top'}","['Besides being a hallmark of the holidays, candy canes make damn-good cocktail garnishes. This yuletide-inspired take on the Mimosa packs a sweet-minty punch and looks great on a party tray. Quick tip: The longer you keep the candy cane in the drink, the redder and mintier your Mimosa will be.']","['Rim a Champagne flute with melted chocolate chips and a crushed candy cane.', 'Add the white créme de menthe and chocolate bitters into the prepared glass, and top with sparkling wine.', 'Garnish with a whole candy cane.']",Sweet,NULL
Bourbon Strawberry Iced Tea,https://www.liquor.com/recipes/bourbon-strawberry-iced-tea/,"{'fresh strawberries ': '2 Large', 'Fresh lemon juice': '1 ounce', 'bourbon': '2 ounce', 'Simple syrup ': '3/4 ounce', 'Unsweetened iced tea': 'to top'}","['Bourbon, strawberries and iced tea come together to make this mellow summer sipper, perfect for the Fourth of July or any other day you’re craving something tall, cool and easy-drinking.']","['Add the strawberries and lemon juice into a shaker and gently muddle.', 'Add the bourbon and simple syrup, add ice, and shake until well-chilled.', 'Strain into a Collins glass over fresh ice.', 'Top with unsweetened iced tea.', 'Garnish with a mint sprig and skewered blueberries and strawberries.']",Sweet,"[['Well balanced, easy to drink, great color. This cocktail is for everyone (in a good way).']]"
Samarian Sunset,https://www.liquor.com/recipes/samarian-sunset/,"{'White rum': '11/2 ounce', 'Cabbage rum': '1/2 ounce', 'Triple sec': '3/4 ounce', 'Simple syrup': '3/4 ounce', 'Sparkling water': '3 ounce', 'Grapefruit juice': '3/4 ounce', 'Lime juice': '1/2 ounce', 'Salt': '1 pinch'}","['“Conundrum,” the episode of “Star Trek: The Next Generation” in which everyone gets their memories erased and Data thinks he’s a bartender, is one of the series’ best. He makes this drink for Troi after losing a game of 3-D chess. It goes from clear to green to red in the blink of an eye. We don’t yet have the technology to recreate that marvel, but we can mimic it using a trick with red-cabbage-infused rum. The drink will turn from purple to red with the addition of the fruit juices.', 'This recipe originally appeared as part of “5 ‘Star Trek’ Cocktails to Try at Home.”']","['Chill a large snifter with ice and set aside.', 'Add the white rum, cabbage rum, triple sec and simple syrup to a shaker with ice, and shake vigorously for 15 seconds.', 'Strain into the chilled snifter.', 'Add 3 oz sparkling water.', 'In a separate container, combine 3/4 oz grapefruit juice and 1/2 oz lime juice. Pour the juice into the snifter.', 'Add 1 pinch salt.', '*Cabbage rum: Combine 1/2 head purple cabbage, chopped, with 4 oz white rum in a blender, and blend on high until smooth. Strain using a fine-mesh strainer. Makes 4 oz.']",Sweet,NULL
Brandy Sangaree,https://www.liquor.com/recipes/brandy-sangaree/,"{'Sugar': '1/2 tsp', 'Water': '1 tsp', 'Brandy': '2 ounce', 'Port wine': '1 ounce'}","['Dating back to the late 1700s, this single-serving punch is the perfect open-ended drink. At its simplest, it’s sweet, spicy and low on alcohol. But add a shot of your favorite brandy, and things get even more interesting.']","['Add the sugar and water into a mixing glass and stir until sugar is dissolved.', 'Add the brandy, port wine and ice and stir.', 'Strain into a chilled Nick & Nora glass.', 'Garnish with freshly grated nutmeg.']",Sweet,[['And no ice?!']]
Gold Rush,https://www.liquor.com/recipes/gold-rush/,"{'bourbon': '2 ounce', 'honey syrup': '1 ounce', 'Fresh lemon juice': '3/4 ounce'}","['It doesn’t get any easier than this refreshing three-ingredient drink, a honeyed twist on the Whiskey Sour. For a more assertive cocktail, use a high-proof bourbon like Booker’s or Wild Turkey 101.']","['Add all the ingredients into a shaker with ice and shake for 30 seconds.', 'Strain into a chilled rocks glass with one large ice cube.', 'Garnish with a lemon peel.', '*Honey syrup: Add 1/2 cup honey and 1/2 cup water to a small saucepan over medium heat. (You can experiment and decide how much of a honey flavor you want in your syrup. The more honey you use, the thicker the syrup and stronger in flavor it will be.) Stir until blended. Strain into a jar and seal tightly with a lid. Will keep for 1 month in the refrigerator.']",Sweet,"[['The other version of this recipe that I saw tweaked the honey syrup like thus:\nthe syrup was a 3:1 ration of honey to water vs 1:1, but you only use 3/4 of an ounce instead of 1 full ounce. So it probably ends up being pretty close by the time you factor in a stronger syrup but less of it.'], ['I agree, simple but as good as it get. Just made one with caramel syrup instead of honey syrup, even better (think it was Monin brand).'], ['This is the best version of this cocktail on the web.'], ['Really like it!']]"
Bourbon & Root Beer,https://www.liquor.com/recipes/bourbon-root-beer/,"{'Bourbon': '2 ounce', 'Root beer': '6 ounce'}","['Root beer’s distinctive bite, imparted by sassafras root, helps dampen bourbon’s sweetness, while its earthy notes bring out more nuanced aromas. There’s a hint of anise, as well, reminiscent of a Sazerac, and a strong vanilla flavor that gives it all a lovely creaminess.', 'This recipe originally appeared as part of “Forget Ginger Ale. This Is the Perfect Bourbon Mixer.”']","['Pour the bourbon into a Collins glass over ice.', 'Add the root beer, and stir slowly.', 'Serve with a straw.']",Sweet,"[['Way too easy.... be careful with this ancient secret..'], ['Have to be careful with this one, very easy to overpour! One of my favorites.']]"
Hot Buttered Rum,https://www.liquor.com/recipes/hot-buttered-rum/,"{'Gold rum': '2 ounce', 'Hot buttered rum batter': '1 tbsp', 'Boiling water': 'NULL'}","['Hot Buttered Rum is a warm, soothing cocktail that hits the spot when a chill is in the air. Adding butter to a cocktail may seem a little out of the ordinary, but the pat of butter imparts a richness to the Hot Buttered Rum that would otherwise be missing. While many recipes call for a simple pat of butter to be added to the cocktail, this version instead calls for butter batter, which tends to make it creamier and avoids the oil slick that generally forms on top.', 'While the Hot Buttered Rum dates back to colonial times, it was Kenneth Roberts’ 1937 best-seller, “Northwest Passage,” that reignited the passion for Hot Buttered Rum. The passion warmed the hearts and hands of many a drinker on frosty nights and continues unabated to this date.']","['Add the rum and batter to a mug.', 'Fill with boiling water and stir.']",Sweet,NULL
Cucumber Cleanse,https://www.liquor.com/recipes/cucumber-cleanse/,"{'Absolut vodka': '2 ounce', 'fresh cucumber juice': '3/4 ounce', 'Fresh lemon juice': '1/2 ounce', 'ginger syrup': '1/4 ounce', 'honey': '1/4 ounce', 'Crude Bitterless Marriage hibiscus lavender oak bitters': '5 drops', 'egg white': '1 ounce'}","['The lemon and cayenne juice cleanse popular when people are looking to counter overindulgence was the inspiration for this juice bar riff, says Troy Smith, the beverage director at California’s Montage Laguna Beach resort and spa. Sean Hogan, a bartender at the resort’s Lobby Lounge, substituted the usual maple syrup for ginger and honey, whose flavors better meld with the fresh flavor of cucumber. He uses a Zumex centrifugal juicer to extract the juice and recommends using it as soon as possible. “Lemon and lime juices are best within about four hours of pressing, and cucumber is viable for about 12 hours.”', 'This recipe originally appeared as part of “Why and How You Should Use Cold-Pressed Juice in Your Cocktails.”']","['Add all ingredients into a shaker and dry-shake (without ice) until frothy.', 'Add ice and shake again until well-chilled.', 'Strain into a cocktail glass.', 'Garnish with a sprinkle of ground cayenne.']",Sweet,"[[""Sounds really crafty and well thought out to combine... I'm excited to make this soon...""]]"
Beet Rose,https://www.liquor.com/recipes/beet-rose/,"{'Ketel One vodka': '2 ounce', 'fresh beet juice': '1 ounce', 'Fresh lemon juice': '3/4 ounce', 'Mint leaves': '6', 'prosecco': 'to top'}","['This healthy libation by Eric Jacobs, the co-owner of New York City’s J. Bespoke, is inspired by Pete Rose, the controversial Major League baseball player switch hitter who had a successful career with teams including the Cincinnati Reds and Philadelphia Phillies before being convicted for betting on his team and getting banned from the sport for life. Jacobs uses a Champion juicer to extract the juice from the earthy beet, which is mixed with vodka, lemon juice and mint leaves and topped with prosecco. “Using a masticating juicer helps retain the nutritional value of the fruit in the cocktail by cold-pressing the ingredients, leading to a healthier and tastier drink,” he says.', 'This recipe originally appeared as part of “Cheat a Little During Dry January with These 3 Pressed Juice Cocktails.”']","['Add all ingredients except prosecco into a shaker with ice and shake until well-chilled.', 'Double-strain into a highball glass over fresh ice.', 'Top with prosecco.', 'Garnish with a mint sprig and lemon twist.']",Sweet,NULL
Blood & Sand,https://www.liquor.com/recipes/blood-and-sand/,"{'scotch': '3/4 ounce', 'sweet vermouth': '3/4 ounce', 'Heering cherry liqueur': '3/4 ounce', 'fresh orange juice': '3/4 ounce'}","['The Blood & Sand is a classic scotch-based cocktail that has withstood the test of time. The recipe first appeared in 1930 in ""The Savoy Cocktail Book"" by Harry Craddock and has become a mainstay on bar menus ever since.', 'It gets its name from a 1922 bullfighter movie and points to its ingredients: The “blood” represents Heering cherry liqueur, and the “sand” is for the orange juice.', 'The key to the cocktail is to use a smooth scotch that’s not too smoky and freshly squeezed orange juice. So forget about your Islay scotches (for now), and avoid that carton of OJ in the fridge.']","['Add all ingredients into a shaker with ice and shake.', 'Strain into a chilled coupe or cocktail glass.', 'Garnish with an orange peel.']",Sweet,[['A long-time favorite.']]
Sparkling Watermelon Punch,https://www.liquor.com/recipes/sparkling-watermelon-punch/,"{'mini watermelon': '1', 'Mint leaves': '6', 'vodka': '4 ounce', 'fresh lime juice': '2 ounce', 'ounce Simple syrup': '1 ounce', 'sparkling wine': 'to top'}","['Some people look at a watermelon and all they see is ... watermelon. But summer’s superstar fruit has the potential to be so much more. This fun seasonal recipe turns the juicy orbs into a boozy punch for two, adding vodka, fresh mint and sparkling wine for a drink that looks as good as it tastes. Now that’s something we can raise our rinds to!']",[],Sweet,NULL
Tom Collins,https://www.liquor.com/recipes/tom-collins-2/,"{'London Dry gin': '2 ounce', 'Fresh lemon juice': '1 ounce', 'ounce Simple syrup': '1/2 ounce', 'club soda': 'to top'}","['Master this all-time gin classic. The Tom Collins is essentially a sparkling lemonade spiked with a healthy dose of the juniper-centric spirit. While there is a debate raging about which side of the pond this drink hails from, this cocktail lives up to its classic status with every sip.']","['Add the gin, lemon juice and simple syrup into a Collins glass.', 'Fill with ice, top with club soda and stir.', 'Garnish with a lemon wheel and maraschino cherry (optional).']",Sweet,"[['Just made this with vodka and peligrino and limoncello... so good'], ['I may try a Tom Collins being that I love Bombay Sapphire Gin. That HAS to create the VERY BEST TOM COLLINS.. EVER!'], ['It absolutely does! Decided to try a Tom Collins on a cruise last year, Bombay was recommended and I was not disappointed.'], ['My mother used to drink these at weddings and parties. Probably had at least one per occasion. It\'s the kind of drink I make for myself (minus the simple syrup and maraschino cherry). What drink is it if I add some Aperol. Actually, store was out of Aperol so I bought a bottle of Ramazzotti Aperitivo Rosato which I liked even better than the Aperol. There was a chef on PBS a long time ago whose motto was ""ya use what ya got"".'], ['I don\'t think there\'s a name for it, but you could call it an Italian Tom Collins, or maybe a ""Tommaso Collins.""']]"
Spicy Mint Avocado Margarita,https://www.liquor.com/recipes/spicy-mint-avocado-margarita/,"{'avocado ': '1 slice', 'jalapeño pepper ': '3 slice', 'Mint leaves': '4 fresh', 'blanco tequila': '2 ounce', 'orange liqueur': '1 ounce', 'fresh lime juice': '1 ounce', 'ounce Simple syrup': '1/2 ounce', 'salt': '1 pinch'}","['Most people can recite the health benefits of the mighty avocado—loaded with nutrients, antioxidants and plenty of that good fat—but few think of it as a cocktail ingredient. This Margarita spin doubles down on the green, muddling the superfruit with fresh mint and jalapeño for a warm-weather sipper that will make you feel good in more ways than one.']","['Rim a double rocks glass with salt and set aside.', 'Add the avocado, jalapeño, mint and lime juice into a shaker and muddle until the avocado is mashed.', 'Add the tequila, orange liqueur, simple syrup and salt.', 'Fill the shaker with ice, and shake until well-chilled.', 'Strain into the prepared rocks glass over fresh ice.', 'Garnish with a mint sprig.']",Sweet,"[[""I've never seen a recipe in which ingredients are place in a mixing glass, then *shaked* with ice. Was this a typo? And if not, how does one shake a cocktail in a mixing glass?""], [""Thanks for bringing this to our attention. We've updating the recipe's instructions.""]]"
Latitude 29 Mai Tai,https://www.liquor.com/recipes/mai-tai/,"{'Coruba dark Jamaican rum': '1 ounce', 'Rhum Clément V S O P  Martinique rhum agricole vieux': '1 ounce', 'Orange curaçao': '1/2 ounce', 'Latitude 29 Formula orgeat': '1/2 ounce', 'Fresh lime juice ': '1 ounce', 'Simple syrup ': '1/4 ounce'}","['The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.', 'This recipe originally appeared as part of “How the Mai Tai Became the Calling Card for the Tiki Movement.”']","['Add all the ingredients into a shaker with 2 scoops of crushed ice, and shake well for 10 seconds.', 'Pour unstrained into a double Old Fashioned glass.', 'Sink the spent lime shell into the drink.', 'Garnish with a mint sprig.']",Sweet,NULL
Blue Hawaiian,https://www.liquor.com/recipes/blue-hawaiian/,"{'Light rum': '11/2 ounce', 'Blue curaçao': '3/4 ounce', 'Pineapple juice': '2 ounce', 'Creme de coconut': '3/4 ounce', 'Fresh lemon juice': '1/2 ounce'}","['Not to be confused with the Harry Yee classic, the Blue Hawaii, the Blue Hawaiian is little more than a Piña Colada with an added splash of blue curaçao. Tall, teal and aggressively tropical, it’s the type of drink you’d imagine sipping by the swimming pool, another cocktail du azure.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a Hurricane glass over pebble ice.', 'Garnish with a pineapple wedge, cherry and cocktail umbrella. into glass.']",Sweet,NULL
Bourbon Rosemary Punch,https://www.liquor.com/recipes/bourbon-rosemary-punch/,"{'Rosemary-infused Aperol ': '1 bottle', 'Bourbon': '12 ounce', 'Honey syrup': '6 ounce', 'Grapefruit juice': '6 ounce', 'Dry sparkling wine ': '1 bottle', 'Soda water ': '1 bottle'}","['The prettiest punches aren’t always the tastiest. Not the case with this party-size bourbon-Aperol number. It’s got everything you want from a large-format cocktail: fresh, seasonal flavors and bright, beautiful garnishes, plus a whole lot of bubbles to make the whole thing feel more festive.']","['Combine the first four ingredients in a punch bowl and add large ice cubes.', 'Top with the sparkling wine and soda water.', 'Garnish with grapefruit wheels and rosemary sprigs.', '*Rosemary-infused Aperol: Place 4 sprigs of rosemary in a 750 mL bottle of Aperol and let sit for 6 hours at room temperature, then strain out herbs.']",Sweet,NULL
